	id	raw_category	category	count	nyu40id	eigen13id	nyuClass	nyu40class	eigen13class	ModelNet40	ModelNet10	ShapeNetCore55	synsetoffset	wnsynsetid	wnsynsetkey	mpcat40	mpcat40index	scannetid	cocomapclass	cocomapid
0	1	wall	wall	8277	1	12	wall	wall	Wall					n04546855	wall.n.01	wall	1.0	1	wall	1
1	2	chair	chair	4646	5	4	chair	chair	Chair	chair	chair	chair	3001627.0	n03001627	chair.n.01	chair	3.0	5	chair	5
2	22	books	book	1678	23	2	book	books	Books					n02870526	book.n.11	objects	39.0	0	otherprop	0
3	3	floor	floor	1553	2	5	floor	floor	Floor					n03365592	floor.n.01	floor	2.0	2	floor	2
4	5	door	door	1483	8	12	door	door	Wall	door				n03221720	door.n.01	door	4.0	8	door	8
5	1163	object	object	1313	40	7		otherprop	Objects							objects	39.0	0	otherprop	0
6	16	window	window	1209	9	13	window	window	Window					n04587648	window.n.01	window	9.0	9	window	9
7	4	table	table	1170	7	10	table	table	Table	table	table	table	4379243.0	n04379243	table.n.02	table	5.0	7	table	7
8	56	trash can	trash can	1090	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177.0	n02747177	ashcan.n.01	objects	39.0	0	otherprop	0
9	13	pillow	pillow	937	18	7	pillow	pillow	Objects			pillow	3938244.0	n03938244	pillow.n.01	cushion	8.0	0	otherprop	0
10	15	picture	picture	862	11	8	picture	picture	Picture					n03931044	picture.n.01	picture	6.0	11	otherprop	0
11	41	ceiling	ceiling	806	22	3	ceiling	ceiling	Ceiling					n02990373	ceiling.n.01	ceiling	17.0	0	ceiling	13
12	26	box	box	775	29	7	box	box	Objects					n02883344	box.n.01	objects	39.0	0	otherprop	0
13	161	doorframe	doorframe	768	8	12	door	door	Wall	door					doorframe.n.01	door	4.0	8	door	8
14	19	monitor	monitor	765	40	7	monitor	otherprop	Objects	monitor	monitor	tv or monitor	3211117.0	n03782190	monitor.n.04	objects	39.0	0	otherprop	0
15	7	cabinet	cabinet	731	3	6	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	cabinet	7.0	3	cabinet	3
16	9	desk	desk	680	14	10	desk	desk	Table	desk	desk	table	4379243.0	n03179701	desk.n.01	table	5.0	13	table	7
17	8	shelf	shelf	641	15	6	shelves	shelves	Furniture	bookshelf		bookshelf	2871439.0	n02871439	bookshelf.n.01	shelving	31.0	0	shelves	10
18	10	office chair	office chair	595	5	4	chair	chair	Chair	chair	chair	chair	3001627.0	n04373704	swivel_chair.n.01	chair	3.0	5	chair	5
19	31	towel	towel	570	27	7	towel	towel	Objects					n04459362	towel.n.01	towel	20.0	0	otherprop	0
20	6	couch	couch	502	6	9	sofa	sofa	Sofa	sofa	sofa	sofa	4256520.0	n04256520	sofa.n.01	sofa	10.0	6	sofa	6
21	14	sink	sink	488	34	7	sink	sink	Objects	sink				n04223580	sink.n.01	sink	15.0	18	sink	18
22	48	backpack	backpack	479	40	7	backpack	otherprop	Objects					n02769748	backpack.n.01	objects	39.0	0	otherprop	0
23	28	lamp	lamp	419	35	7	lamp	lamp	Objects	lamp		lamp	3636649.0	n03636649	lamp.n.02	lighting	28.0	0	lamp	19
24	11	bed	bed	370	4	1	bed	bed	Bed	bed	bed	bed	2818832.0	n02818832	bed.n.01	bed	11.0	4	bed	4
25	18	bookshelf	bookshelf	360	10	6	bookshelf	bookshelf	Furniture	bookshelf		bookshelf	2871439.0	n02871439	bookshelf.n.01	shelving	31.0	10	shelves	10
26	71	mirror	mirror	349	19	7	mirror	mirror	Objects					n03773035	mirror.n.01	mirror	21.0	0	otherprop	0
27	21	curtain	curtain	347	16	13	curtain	curtain	Window	curtain				n03151077	curtain.n.01	curtain	12.0	14	curtain	12
28	40	plant	plant	331	40	7	plant	otherprop	Objects	plant				n00017222	plant.n.02	plant	14.0	0	otherprop	0
29	52	whiteboard	whiteboard	327	30	7	whiteboard	whiteboard	Objects					n03211616	display_panel.n.01	board_panel	35.0	0	otherprop	0
30	96	radiator	radiator	322	39	6	radiator	otherfurniture	Furniture					n04041069	radiator.n.02	misc	40.0	0	otherprop	0
31	22	book	book	318	23	2	book	books	Books					n02870526	book.n.11	objects	39.0	0	otherprop	0
32	29	kitchen cabinet	kitchen cabinet	310	3	6	cabinet	cabinet	Furniture					n02933112	cabinet.n.01	cabinet	7.0	3	cabinet	3
33	49	toilet paper	toilet paper	291	40	7	toilet paper	otherprop	Objects					n15075141	toilet_tissue.n.01	objects	39.0	0	otherprop	0
34	29	kitchen cabinets	kitchen cabinet	289	3	6	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	cabinet	7.0	3	cabinet	3
35	23	armchair	armchair	281	5	4	chair	chair	Chair	chair	chair	chair	3001627.0	n02738535	armchair.n.01	chair	3.0	5	chair	5
36	63	shoes	shoe	272	40	7	shoe	otherprop	Objects					n04199027	shoe.n.01	clothes	38.0	0	otherprop	0
37	24	coffee table	coffee table	258	7	10	coffee table	table	Table	table	table	table	4379243.0	n03063968	coffee_table.n.01	table	5.0	7	table	7
38	17	toilet	toilet	256	33	7	toilet	toilet	Objects	toilet	toilet			n04446276	toilet.n.01	toilet	18.0	17	toilet	17
39	47	bag	bag	252	37	7	bag	bag	Objects			suitcase	2773838.0	n02773838	bag.n.06	objects	39.0	0	bag	20
40	32	clothes	clothes	248	21	7	clothes	clothes	Objects					n02728440	apparel.n.01	clothes	38.0	0	otherprop	0
41	46	keyboard	keyboard	246	40	7	keyboard	otherprop	Objects	keyboard		computer keyboard	3085013.0	n03085013	computer_keyboard.n.01	objects	39.0	0	otherprop	0
42	65	bottle	bottle	226	40	7	bottle	otherprop	Objects	bottle		bottle	2876657.0	n02876657	bottle.n.01	objects	39.0	0	otherprop	0
43	97	recycling bin	recycling bin	225	39	6	garbage bin	otherfurniture	Furniture			trash_bin	2747177.0	n02747177	ashcan.n.01	objects	39.0	0	otherprop	0
44	34	nightstand	nightstand	224	32	6	night stand	night stand	Furniture	night_stand	night_stand			n03015254	chest_of_drawers.n.01	chest_of_drawers	13.0	0	otherprop	0
45	38	stool	stool	221	40	7	stool	otherprop	Objects	stool				n04326896	stool.n.01	stool	19.0	0	otherprop	0
46	33	tv	tv	219	25	11	television	television	TV			tv or monitor	3211117.0	n03211117	display.n.06	tv_monitor	22.0	0	television	15
47	75	file cabinet	file cabinet	217	3	6	cabinet	cabinet	Furniture			cabinet	2933112.0	n02933112	cabinet.n.01	cabinet	7.0	3	cabinet	3
